Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Tên gọi nghề nghiệp
			1330	1330	Chánh án, Phó Chánh án Tòa án khác (trừ Tòa án Quân sự) do luật định
	14				Lãnh đạo, quản lý của Hội đồng nhân dân và Ủy ban nhân dân địa phương (kể cả các cơ quan chuyên môn ở địa phương, trừ tư pháp và đoàn thể) (chuyên trách)
		141			Lãnh đạo, quản lý của Hội đồng nhân dân (chuyên trách)
			1411	14110	Chủ tịch, Phó Chủ tịch và Thường trực Hội đồng nhân dân cấp tỉnh
			1412	14120	Trưởng ban, Phó Trưởng ban và tương đương trong các cơ quan của Hội đồng nhân dân cấp tỉnh
			1413	14130	Chủ tịch, Phó Chủ tịch và Thường trực Hội đồng nhân dân cấp huyện
			1414	14140	Trưởng ban, Phó Trưởng ban và tương đương trong các cơ quan của Hội đồng nhân dân cấp huyện
			1415	14150	Chủ tịch, Phó Chủ tịch Hội đồng nhân dân cấp xã
		142			Lãnh đạo, quản lý của Ủy ban nhân dân (kể cả các cơ quan chuyên môn) (chuyên trách)
			1421	14210	Chủ tịch, Phó Chủ tịch và Ủy viên thường trực Ủy ban nhân dân cấp tỉnh
			1422	14220	Chủ tịch, Phó Chủ tịch và Ủy viên thường trực Ủy ban nhân dân cấp huyên
			1423	14230	Chủ tịch, Phó Chủ tịch Ủy ban nhân dân cấp xã
			1424	14240	Trưởng ngành, Phó Trưởng ngành, ban, sở và tương đương của các cơ quan chuyên môn cấp tỉnh
			1425	14250	Trưởng ngành, Phó Trưởng ngành, ban và tương đương của các cơ quan chuyên môn cấp huyện
	15				Lãnh đạo, quản lý khối đoàn thể; Mặt trận Tổ quốc, Liên đoàn Lao động, Hội Phụ nữ, Hội Nông dân, Đoàn Thanh niên Cộng sản Hồ Chí Minh, Hội Cựu chiến binh (chuyên trách)
		151			Lãnh đạo, quản lý khối đoàn thể (trừ Liên đoàn Lao động) (chuyên trách)
			1511	15110	Chủ tịch, Phó Chủ tịch
			1512	15120	Ủy viên cấp trung ương
			1513	15130	Vụ trưởng, Phó Vụ trưởng và tương đương cấp trung ương
			1514	15140	Ủy viên cấp tỉnh
			1515	15150	Ủy viên cấp huyện
		152			Lãnh đạo, quản lý Liên đoàn Lao động (chuyên trách)
			1521	15210	Chủ tịch, Phó Chủ tịch
			1522	15220	Ủy viên của Tổng Liên đoàn Lao động Việt Nam
			1523	15230	Vụ trưởng, Phó Vụ trưởng và tương đương của Tổng Liên đoàn Lao động Việt Nam
			1524	15240	Ủy viên trở lên của Liên đoàn Lao động cấp tỉnh
			1525	15250	Ủy viên trở lên của Liên đoàn Lao động cấp huyện
			1526	15260	Chủ tịch, Phó Chủ tịch tổ chức công đoàn cơ quan bộ, ngành ở trung ương
			1527	15270	Chủ tịch, Phó Chủ tịch tổ chức công đoàn doanh nghiệp và các tổ chức sự nghiệp
	16				Nhà quản lý của Tổ chức nghiệp chủ, nhân đạo và vì quyền lợi đặc thù khác (chuyên trách)
		161			Nhà quản lý của Tổ chức nghiệp chủ (chuyên trách)
			1610	16100	Chủ tịch, Phó Chủ tịch
		162			Nhà quản lý của Tổ chức nhân đạo và vì quyền lợi đặc thù khác (chuyên trách)
			1620	16200	Chủ tịch, Phó Chủ tịch
	17				Nhà quản lý của các cơ quan tập đoàn, tổng công ty và tương đương (chuyên trách)
		171	1710	17100	Chủ tịch, Phó Chủ tịch Hội đồng quản trị, Tổng giám đốc doanh nghiệp, Phó Tổng giám đốc doanh nghiệp, Chủ tịch, Phó Chủ tịch Hội đồng trường, Hiệu trưởng, Phó Hiệu trưởng trường đại học lớn và tương đương (chuyên trách)
		172			Giám đốc, Phó Giám đốc của các đơn vị sản xuất và triển khai thuộc cơ quan tập đoàn, tổng công ty, trường đại học lớn và tương đương (chuyên trách)
			1721	17210	Nông nghiệp, lâm nghiệp và thủy sản
			1722	17220	Khai khoáng, công nghiệp chế biến, chế tạo, sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí
			1723	17230	Xây dựng
			1724	17240	Bán buôn, bán lẻ
			1725	17250	Dịch vụ lưu trú và ăn uống
			1726	17260	Vận tải, kho bãi; Thông tin và truyền thông
			1727	17270	Dịch vụ kinh doanh
			1728	17280	Dịch vụ cá nhân và cộng đồng
			1729	17290	Các đơn vị sản xuất và dịch vụ còn lại chưa được phân vào đâu
		173			Giám đốc, Phó Giám đốc các đơn vị quản lý thuộc cơ quan Liên hiệp, Tổng công ty, trường đại học lớn và tương đương (chuyên trách)
			1731	17310	Tài chính, kế toán, quản trị hành chính
			1732	17320	Tổ chức nhân sự và mối quan hệ công nghệ
			1733	17330	Bán hàng và tiếp thị
			1734	17340	Quảng cáo và các vấn đề liên quan đến công chúng
			1735	17350	Cung ứng và phân phối
			1736	17360	Dịch vụ và tính toán
			1737	17370	Nghiên cứu và phát triển
			1739	17390	Các đơn vị khác chưa được phân vào đâu
		174			Giám đốc, Phó Giám đốc công ty, doanh nghiệp, xí nghiệp, hợp tác xã; Hiệu trưởng, Phó Hiệu trưởng trường nhỏ và tương đương (chuyên trách)
			1741	17410	Nông nghiệp, lâm nghiệp và thủy sản
			1742	17420	Khai khoáng, công nghiệp chế biến, chế tạo, sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí
			1743	17430	Xây dựng
			1744	17440	Bán buôn, bán lẻ
			1745	17450	Dịch vụ lưu trú và ăn uống
			1746	17460	Vận tải kho bãi; Thông tin và truyền thông
			1747	17470	Dịch vụ kinh doanh
			1748	17480	Dịch vụ cá nhân và cộng đồng
			1749	17490	Các đơn vị sản xuất và dịch vụ còn lại chưa được phân vào đâu
2					Nhà chuyên môn bậc cao
	21				Nhà chuyên môn trong lĩnh vực khoa học và kỹ thuật
		211			Nhà chuyên môn về khoa học trái đất và vật lý
			2111	21110	Nhà vật lý học và thiên văn học
			2112	21120	Nhà khí tượng học
			2113	21130	Nhà hóa học
			2114	21140	Nhà địa chất, địa vật lý
		212			Nhà toán học, nhà thống kê
			2121		Nhà toán học
				21211	Nhà toán học
				21212	Nhà phân tích nghiên cứu hoạt động
			2122	21220	Nhà thống kê
		213			Nhà chuyên môn về khoa học sự sống
			2131	21310	Nhà sinh vật học, thực vật học, động vật học và các chuyên môn liên quan
			2132		Nhà tư vấn nông, lâm nghiệp và thủy sản
				21321	Nhà trồng trọt
				21322	Nhà tư vấn làm vườn
				21323	Nhà bệnh học thực vật
				21324	Nhà khoa học đất đai
				21325	Nhà chăn nuôi
				21326	Nhà nuôi cấy tế bào động vật
				21327	Nhà nuôi cấy mô thực vật
				21328	Nhà tư vấn nuôi trồng thủy sản
				21329	Các chuyên gia nông, lâm, thủy sản khác
			2133	21330	Nhà chuyên môn về bảo vệ môi trường
		214			Nhà chuyên môn về kỹ thuật (trừ kỹ thuật điện)
			2141	21410	Kỹ sư công nghiệp chế biến, chế tạo
			2142	21420	Kỹ sư xây dựng
			2143	21430	Kỹ sư môi trường
			2144	21440	Kỹ sư cơ học, cơ khí
			2145	21450	Kỹ sư hóa học
			2146	21460	Kỹ sư khai thác mỏ, luyện kim và các nghề liên quan
			2149	21490	Kỹ sư kỹ thuật khác chưa được phân vào đâu
		215			Kỹ sư kỹ thuật điện
			2151	21510	Kỹ sư điện
			2152	21520	Kỹ sư điện tử
			2153	21530	Kỹ sư viễn thông
		216			Kiến trúc sư, nhà quy hoạch, khảo sát và thiết kế
			2161	21610	Kiến trúc sư xây dựng
			2162	21620	Kiến trúc sư cảnh quan
			2163		Nhà thiết kế sản phẩm và may mặc
				21631	Nhà thiết kế trang phục/thời trang, phụ kiện
				21632	Nhà thiết kế công nghiệp và sản phẩm
			2164		Nhà quy hoạch đô thị và giao thông
				21641	Nhà quy hoạch đô thị
				21649	Nhà quy hoạch giao thông khác
			2165		Nhà vẽ bản đồ và khảo sát hiện trường
				21651	Nhà khảo sát chung
				21652	Nhà khảo sát đất
				21653	Nhà khảo sát thủy văn
				21654	Người vẽ bản đồ
				21659	Nhà khảo sát và vẽ bản đồ khác
			2166	21660	Nhà thiết kế đồ họa và truyền thông đa phương tiện
	22				Nhà chuyên môn về sức khỏe
		221			Bác sỹ y khoa
			2211	22110	Bác sỹ đa khoa
			2212		Bác sỹ chuyên khoa
				22121	Bác sỹ tim mạch
				22122	Bác sỹ da liễu
				22123	Bác sỹ tiêu hóa
				22124	Bác sỹ nội khoa
				22125	Bác sỹ ung bướu
				22126	Bác sỹ nhi khoa
				22127	Bác sỹ hô hấp
				22128	Bác sỹ tâm thần
				22129	Bác sỹ chuyên khoa khác
		222			Y tá/Điều dưỡng (cao cấp) và hộ sinh (cao cấp)
			2221	22210	Y tá/Điều dưỡng (cao cấp)
			2222	22220	Hộ sinh (cao cấp)
		223	2230	22300	Nhà chuyên môn về y học cổ truyền và hỗ trợ
		224	2240	22400	Bác sỹ phụ tá
		225	2250	22500	Bác sỹ thú y
		226			Nhà chuyên môn về sức khỏe khác
			2261	22610	Bác sỹ răng - hàm - mặt
			2262		Dược sỹ
				22621	Dược sỹ sản xuất thuốc
				22629	Dược sỹ khác
			2263	22630	Nhà chuyên môn về vệ sinh môi trường và bệnh nghề nghiệp
			2264	22640	Nhà chuyên môn về vật lý trị liệu
			2265	22650	Nhà chuyên môn về dinh dưỡng
			2266	22660	Bác sỹ thính học và đặc trị các khuyết tật về ngôn ngữ
			2267	22670	Nhà chuyên môn về thị lực và nhãn khoa
			2269	22690	Nhà chuyên môn khác về sức khỏe chưa được phân vào đâu
	23				Nhà chuyên môn về giảng dạy
		231			Giảng viên cao đẳng, đại học và cao học
			2311	23110	Giảng viên đại học và cao học
			2312	23120	Giảng viên cao đẳng
		232	2320	23200	Giáo viên trung cấp
		233			Giáo viên trung học
			2331	23310	Giáo viên trung học phổ thông (cấp III)
			2332	23320	Giáo viên trung học cơ sở (cấp II)
		234			Giáo viên tiểu học và mầm non
			2341	23410	Giáo viên tiểu học (cấp I)
			2342	23420	Giáo viên mầm non
		239			Nhà chuyên môn giảng dạy khác chưa được phân vào đâu
			2391	23910	Chuyên gia về phương pháp giáo dục
			2392	23920	Giáo viên theo các nhu cầu đặc biệt
			2393	23930	Giáo viên ngôn ngữ khác
			2394	23940	Giáo viên âm nhạc khác
			2395	23950	Giáo viên nghệ thuật khác
			2396	23960	Giáo viên công nghệ thông tin
			2399	23990	Nhà chuyên môn giảng dạy khác chưa được phân vào đâu
	24				Nhà chuyên môn về kinh doanh và quản lý
		241			Nhà chuyên môn về tài chính
			2411		Kế toán và các nhà chuyên môn có liên quan
				24111	Kế toán (trừ kế toán thuế)
				24112	Kiểm toán
				24113	Kế toán thuế
			2412	24120	Nhà tư vấn tài chính và đầu tư
			2413		Nhà phân tích tài chính và các nhà chuyên môn có liên quan
				24131	Nhà phân tích tài chính
				24132	Nhà phân tích rủi ro
				24133	Nhà quản lý quỹ đầu tư
				24134	Nhà quản lý quỹ ủy thác
				24139	Nhà phân tích tài chính và các nhà chuyên môn có liên quan khác
		242			Nhà chuyên môn về quản trị
			2421	24210	Nhà phân tích tổ chức và quản lý
			2422	24220	Nhà chuyên môn về quản trị chính sách
			2423	24230	Nhà chuyên môn về nhân sự và nghề nghiệp
			2424	24240	Nhà chuyên môn về đào tạo và phát triển nhân viên
		243			Nhà chuyên môn về bán hàng, tiếp thị và quan hệ công chúng
			2431	24310	Nhà chuyên môn về quảng cáo và tiếp thị
			2432	24320	Nhà chuyên môn về quan hệ công chúng
			2433	24330	Nhà chuyên môn về bán hàng hóa kỹ thuật và y tế (không bao gồm công nghệ thông tin và truyền thông)
			2434	24340	Nhà chuyên môn về bán hàng hóa trong lĩnh vực công nghệ thông tin và truyền thông
		244			Nhà chuyên môn điều tiết của Chính phủ
			2441	24410	Nhà chuyên môn về hải quan của Chính phủ
			2442	24420	Nhà chuyên môn về thuế của Chính phủ
			2443	24430	Nhà chuyên môn về trợ cấp xã hội của Chính phủ
			2444	24440	Nhà chuyên môn về cấp phép của Chính phủ
			2445	24450	Kiểm lâm
			2446	24460	Nhà ngoại giao
			2449	24490	Nhà chuyên môn điều tiết của Chính phủ khác chưa được phân vào đâu
	25				Nhà chuyên môn trong lĩnh vực công nghệ thông tin và truyền thông
		251			Nhà chuyên môn về phân tích và phát triển phần mềm và các ứng dụng
			2511		Nhà phân tích hệ thống
				25111	Nhà phân tích/thiết kế hệ thống
				25112	Tư vấn quy trình kinh doanh công nghệ thông tin/phân tích kinh doanh
				25113	Nhà kiến trúc giải pháp/doanh nghiệp
			2512	25120	Nhà phát triển phần mềm
			2513	25130	Nhà phát triển web và truyền thông đa phương tiện
			2514	25140	Nhà lập trình các ứng dụng
			2519	25190	Nhà chuyên môn về phát triển phần mềm ứng dụng và nhà phân tích chưa được phân vào đâu
		252			Nhà chuyên môn về cơ sở dữ liệu và mạng
			2521		Nhà quản trị và thiết kế cơ sở dữ liệu
				25211	Nhà quản trị cơ sở dữ liệu
				25212	Nhà thiết kế cơ sở dữ liệu
			2522	25220	Nhà quản trị hệ thống
			2523	25230	Nhà chuyên môn về mạng máy tính
			2529		Nhà chuyên môn về cơ sở dữ liệu và mạng chưa được phân vào đâu
				25291	Nhà khoa học dữ liệu
				25292	Nhà chuyên môn về mạng và cơ sở dữ liệu
	26				Nhà chuyên môn về luật pháp, văn hóa, xã hội
		261			Nhà chuyên môn về luật
			2611		Luật sư
				26111	Luật sư tham gia tố tụng
				26112	Luật sư tư vấn pháp luật
				26119	Luật sư khác
			2612	26120	Thẩm phán
			2619		Nhà chuyên môn về luật khác chưa được phân vào đâu
				26191	Công chứng viên
				26192	Thừa phát lại
				26199	Nhà chuyên môn về luật khác chưa được phân vào đâu
		262			Thủ thư, nhà chuyên môn về lưu trữ và giám tuyển
			2621	26210	Nhà chuyên môn về lưu trữ và giám tuyển
			2622	26220	Thủ thư và các nhà chuyên môn về thông tin liên quan
		263			Nhà chuyên môn về xã hội và tôn giáo
			2631	26310	Nhà kinh tế học
			2632	26320	Nhà xã hội học, nhà nhân chủng học và các nghề có liên quan
			2633	26330	Nhà triết học, sử học và khoa học chính trị
			2634	26340	Nhà tâm lý học
			2635	26350	Nhà chuyên môn về tư vấn và công tác xã hội
			2636	26360	Nhà chuyên môn về tôn giáo
		264			Nhà văn, nhà báo và nhà ngôn ngữ học
			2641		Nhà văn và nghề có liên quan
				26411	Nhà văn
				26412	Người viết kịch bản
				26413	Người viết lời quảng cáo
				26414	Người viết tài liệu kỹ thuật
				26415	Nhà biên tập kịch bản và kết nối
				26416	Biên tập viên xuất bản phẩm
				26419	Người viết khác và các nghề liên quan
			2642		Nhà báo, biên tập viên
				26421	Nhà báo
				26422	Biên tập viên
			2643		Nhà biên dịch, phiên dịch và nhà ngôn ngữ khác
				26431	Phiên dịch
				26432	Biên dịch
				26439	Nhà ngôn ngữ khác
		265			Nghệ sỹ sáng tạo và trình diễn
			2651		Nghệ sỹ hình ảnh
				26511	Nhà điêu khắc
				26512	Họa sỹ
				26513	Người vẽ tranh hoạt họa
				26519	Nghệ sỹ hình ảnh khác
			2652		Nhạc công, ca sỹ và nhạc sỹ
				26521	Nhạc công
				26522	Nhạc sỹ
				26523	Nhạc trưởng/giám đốc dàn nhạc/ban nhạc/dàn hợp xướng
				26524	Ca sỹ
				26529	Nhạc công, ca sỹ và nhạc sỹ khác
			2653	26530	Vũ công và biên đạo múa
			2654	26540	Đạo diễn, nhà sản xuất phim, sân khấu và các nghề liên quan
			2655	26550	Diễn viên
			2656	26560	Phát thanh viên trên đài, truyền hình và các phương tiện truyền thông đại chúng khác
			2659	26590	Nghệ sỹ sáng tạo và trình diễn liên quan khác chưa được phân vào đâu
3					Nhà chuyên môn bậc trung
	31				Kỹ thuật viên khoa học và kỹ thuật
		311			Kỹ thuật viên khoa học vật lý và kỹ thuật
			3111		Kỹ thuật viên khoa học hóa học và vật lý
				31111	Kỹ thuật viên hóa học
				31112	Kỹ thuật viên vật lý
				31119	Kỹ thuật viên hóa học và vật lý khác
			3112		Kỹ thuật viên kỹ thuật xây dựng
				31121	Kỹ thuật viên xây dựng dân dụng
				31122	Kỹ thuật viên kết cấu
				31123	Kỹ thuật viên xây dựng công trình
				31124	Kỹ thuật viên khảo sát đất đai
				31129	Kỹ thuật viên xây dựng dân dụng khác
			3113		Kỹ thuật viên kỹ thuật điện
				31131	Kỹ thuật viên điện dân dụng chung
				31132	Kỹ thuật viên điện dân dụng cao tần
				31139	Kỹ thuật viên điện dân dụng khác
			3114		Kỹ thuật viên kỹ thuật điện tử
				31141	Kỹ thuật viên điện tử dân dụng (chung)
				31142	Kỹ thuật viên bán dẫn
				31143	Kỹ thuật viên thiết bị ghi âm, ghi hình
				31144	Kỹ thuật viên thiết bị đo đạc
				31149	Kỹ thuật viên điện tử dân dụng khác
			3115		Kỹ thuật viên kỹ thuật cơ khí
				31151	Kỹ thuật viên kỹ thuật cơ khí chung
				31152	Kỹ thuật viên cơ khí hàng không
				31153	Kỹ thuật viên máy tự động
				31154	Kỹ thuật viên điều hòa không khí/điện lạnh
				31155	Kỹ thuật viên máy móc, công cụ
				31156	Người thiết kế khuôn/công cụ
				31159	Kỹ thuật viên cơ khí dân dụng khác
			3116	31160	Kỹ thuật viên kỹ thuật hóa học
			3117	31170	Kỹ thuật viên khai thác mỏ và luyện kim
			3118	31180	Kỹ thuật viên phác thảo kỹ thuật
			3119	31190	Kỹ thuật viên khoa học vật lý và kỹ thuật chưa được phân vào đâu
		312			Giám sát viên khai thác mỏ, sản xuất và xây dựng
			3121	31210	Giám sát viên khai thác mỏ
			3122	31220	Giám sát viên sản xuất
			3123	31230	Giám sát viên xây dựng
		313			Kỹ thuật viên kiểm soát, vận hành và điều khiển quy trình
			3131	31310	Người vận hành trạm hoặc nhà máy phát điện
			3132	31320	Người vận hành lò đốt rác và nhà máy xử lý nước
			3133	31330	Kiểm soát viên nhà máy xử lý hóa chất
			3134	31340	Người vận hành nhà máy lọc dầu và khí tự nhiên
			3135	31350	Kiểm soát viên quy trình sản xuất kim loại
			3139	31390	Kỹ thuật viên kiểm soát quy trình khác chưa được phân vào đâu
		314			Kỹ thuật viên khoa học sự sống và kỹ thuật viên hỗ trợ liên quan
			3141	31410	Kỹ thuật viên khoa học sự sống (không kể y tế)
			3142	31420	Kỹ thuật viên nông nghiệp
			3143	31430	Kỹ thuật viên lâm nghiệp
			3144	31440	Kỹ thuật viên nuôi trồng thủy sản
		315			Kỹ thuật viên và kiểm soát viên tàu thủy và phương tiện bay
			3151	31510	Kỹ thuật viên máy của tàu thủy
			3152	31520	Hoa tiêu và nhân viên văn phòng trên tàu
			3153	31530	Phi công phương tiện bay và kỹ thuật viên hỗ trợ liên quan
			3154	31540	Kiểm soát viên không lưu
			3155	31550	Kỹ thuật viên điện tử an toàn không lưu
	32				Kỹ thuật viên sức khỏe
		321			Kỹ thuật viên y tế và dược
			3211		Kỹ thuật viên hình ảnh và thiết bị y tế
				32111	Kỹ thuật viên siêu âm
				32112	Kỹ thuật viên X quang
				32119	Kỹ thuật viên thiết bị y tế và hình ảnh khác
			3212	32120	Kỹ thuật viên phòng thí nghiệm y tế
			3213	32130	Kỹ thuật viên và trợ lý dược
			3214		Kỹ thuật viên lắp răng giả và chỉnh hình
				32141	Kỹ thuật viên lắp chân tay giả và chỉnh hình
				32142	Người làm và sửa các thiết bị chỉnh hình
				32143	Kỹ thuật viên lắp răng giả, chân tay giả và các thiết bị chỉnh hình khác
		322			Y tá/điều dưỡng, kỹ thuật viên chăm sóc bệnh nhân và hộ sinh
			3221	32210	Y tá/điều dưỡng, kỹ thuật viên chăm sóc bệnh nhân
			3222	32220	Hộ sinh
		323	3230	32300	Kỹ thuật viên y học cổ truyền và bổ trợ
		324	3240	32400	Kỹ thuật viên thú y và phụ tá
		325			Kỹ thuật viên sức khỏe khác
			3251	32510	Phụ tá nha khoa và trị liệu
			3252	32520	Kỹ thuật viên ghi chép sổ sách y tế và thông tin về sức khỏe
			3253	32530	Nhân viên y tế cộng đồng
			3254	32540	Kỹ thuật viên nhãn khoa
			3255	32550	Kỹ thuật viên vật lý trị liệu và phụ tá
			3256	32560	Nhân viên trợ giúp y tế
			3257	32570	Thanh tra viên và cộng tác viên môi trường và sức khỏe nghề nghiệp
			3258	32580	Nhân viên cấp cứu
			3259	32590	Kỹ thuật viên sức khỏe khác chưa được phân vào đâu
	33				Nhân viên về kinh doanh và quản lý
		331			Nhân viên về toán ứng dụng và tài chính
			3311	33110	Nhân viên môi giới, buôn bán chứng khoán và tài chính
			3312	33120	Nhân viên phụ trách các khoản tín dụng và khoản vay
			3313	33130	Kế toán viên
			3314	33140	Nhân viên về thống kê và toán học ứng dụng có liên quan
			3315		Nhân viên định giá và đánh giá mức độ thiệt hại
				33151	Thẩm định viên/định giá (trừ tài sản vô hình)
				33152	Giám định viên
				33153	Nhân viên định giá tài sản vô hình
			3316	33160	Thủ quỹ
		332			Nhân viên bán hàng, mua sắm và môi giới
			3321		Nhân viên đại diện bảo hiểm
				33211	Đại lý môi giới bảo hiểm (gồm cả nhà kế hoạch tài chính độc lập)
				33219	Đại diện bảo hiểm và các nhân viên hỗ trợ liên quan khác
			3322	33220	Nhân viên đại diện bán hàng hóa thương mại
			3323		Nhân viên/đại lý mua hàng
				33231	Nhân viên thu mua
				33232	Đại lý thu mua
			3324	33240	Nhân viên môi giới thương mại
		333			Nhân viên/đại lý dịch vụ kinh doanh
			3331	33310	Nhân viên làm thủ tục thông quan và vận tải hàng hóa
			3332	33320	Nhân viên tổ chức hội thảo và sự kiện
			3333	33330	Nhân viên môi giới việc làm và nhà thầu
			3334	33340	Nhân viên môi giới bất động sản và quản lý tài sản/bất động sản
			3339	33390	Nhân viên/đại lý dịch vụ kinh doanh khác chưa được phân vào đâu
		334			Thư ký hành chính và nhân viên chuyên môn khác
			3341	33410	Giám sát viên văn phòng
			3342	33420	Thư ký luật
			3343	33430	Thư ký hành chính và điều hành
			3344	33440	Thư ký y tế
		335			Nhân viên điều tiết của Chính phủ
			3351	33510	Nhân viên hải quan của Chính phủ
			3352	33520	Nhân viên thuế của Chính phủ
			3353	33530	Nhân viên trợ cấp xã hội của Chính phủ
			3354	33540	Nhân viên cấp phép của Chính phủ
			3355	33550	Kiểm lâm
			3359	33590	Nhân viên điều tiết của Chính phủ khác chưa được phân vào đâu
	34				Nhân viên luật pháp, văn hóa, xã hội
		341			Nhân viên về luật pháp, xã hội và tôn giáo
			3411	34110	Nhân viên về luật pháp
			3412	34120	Nhân viên về công tác xã hội
			3413	34130	Nhân viên về tôn giáo
		342			Nhân viên về thể thao và tập luyện
			3421	34210	Vận động viên và người chơi thể thao
